id,channel_id,title,description,publishedAt,view_count,like_count,dislike_count,comment_count
b6JIoAjp69Y,UCt_4wzTQqmcUvemNkeO0plA,LOKI ACABOU NO EPISÓDIO 4? ENTENDA O EPISÓDIO QUE TODOS DESAPARECERAM - Loki Ep. 04x02,"Loki #Marvel #UCM Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai ...",2023-10-27T23:38:58Z,33108,11245,0,997
k3kItwb0wBo,UCt_4wzTQqmcUvemNkeO0plA,ASSISTI FIVE NIGHTS AT FREDDY´S [FNAF]– VALE A PENA? [Sem Spoilers],"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-27T15:00:26Z,142086,24844,0,908
vuwioKnlu2Q,UCt_4wzTQqmcUvemNkeO0plA,#AsMarvels está chegando com tudo nos cinemas. Estreia dia 9 de novembro nos cinemas,"AsMarvels, a mais nova superprodução da Marvel Studios está chegando com tudo nos cinemas. Estreia dia 9 de novembro e ...",2023-10-26T23:30:16Z,16238,2606,0,104
FNGZIsCSYdI,UCt_4wzTQqmcUvemNkeO0plA,BORUTO FOI TREINADO PELO KASHIN KOJI? MAS E O SASUKE?,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-26T21:25:15Z,186316,27269,0,1368
fZJ-SS550CM,UCt_4wzTQqmcUvemNkeO0plA,VINGADORES 6 VAI SER UM REBOOT DO UCM? TOMARA!,"Saiba como criar seu negócio online em 3 dias, acesse: https://bit.ly/45KRytl #UCM #Marvel #Reboot Alguns rumores começam a ...",2023-10-26T15:00:36Z,158456,20713,0,830
HI_1v-ukvrk,UCt_4wzTQqmcUvemNkeO0plA,Nostalgia pros nerds dos anos 90: Como era bom fazer tanta coisa com 1 real! #publicidade,,2023-10-25T23:30:03Z,17950,2598,0,41
HLCou2EM7D8,UCt_4wzTQqmcUvemNkeO0plA,VICTOR TIMELY VAI SER O DR. DESTINO? KANG ROUBOU A AVT? ENTENDA!,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-25T20:30:03Z,183516,23784,0,993
SKvaGg2Zzks,UCt_4wzTQqmcUvemNkeO0plA,ASSISTI ASSASSINOS DA LUA DAS FLORES E QUASE DORMI! Review SEM SPOILERS,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-25T14:47:37Z,95447,12868,0,920
bjfwPuXQs9s,UCt_4wzTQqmcUvemNkeO0plA,O QUE ESPERAR DE THE MARVELS? POR QUE ESTÃO TROCANDO?,AsMarvels #Publicidade #UCM #themarvels @marvelbr The Marvels - Dia 9 de novembro nos cinemas: ...,2023-10-24T23:00:17Z,113094,22334,0,1746
5d01PGDek1A,UCt_4wzTQqmcUvemNkeO0plA,BORUTO SOLOU CODE! NOVO MESTRE E O RASENGAN MAIS PODEROSO! #Boruto TBV Cap. 3,"Boruto #BorutoTBV #Naruto Saiba como criar seu negócio online em 3 dia, acesse: https://bit.ly/3MdOoHv Pensa numa ...",2023-10-24T15:02:59Z,295244,43880,0,1393
jwDX5h6T30A,UCt_4wzTQqmcUvemNkeO0plA,CADÊ O SUPER SAIYAJIN? GOKU PERDEU TODOS OS PODERES? Dragon Ball Daima,"Pessoal, primeiramente, obrigado por chegarmos até aqui! Preciso da sua ajuda nessa reta final, votem ai nas categorias que ...",2023-10-23T20:56:11Z,150190,21390,0,897
SeVmMywxsLk,UCt_4wzTQqmcUvemNkeO0plA,HOMEM-ARANHA 4 DO SAM RAIMI: IDEIAS QUE FORAM APROVEITADAS EM OUTROS FILMES!,"Não é segredo pra ninguém que a trilogia do Homem-Aranha do Sam Raimi teria um quarto filme, que nunca saiu do papel.",2023-10-23T15:01:15Z,128766,18052,0,852
